編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
64,汽車竊盜,1040616,10~12,台北市中正區河堤里金門街附近,25.0213221,121.5229142
65,汽車竊盜,1040616,13~15,台北市北投區湖山里紗帽路與建國街口,25.1440704,121.5394472
66,汽車竊盜,1040627,19~21,台北市北投區建民里文林北路80巷90弄31~60號,25.1066677,121.5204501
67,汽車竊盜,1040628,16~18,台北市南港區玉成里南港路三段130巷3弄1~30號,25.0538738,121.5879814
68,汽車竊盜,1040715,22~24,台北市南港區玉成里南港路三段149巷,25.056524,121.585795
69,汽車竊盜,1040719,01~03,台北市文山區老泉里老泉街北二高涵洞下方,24.9778401,121.5611151
70,汽車竊盜,1040720,19~21,台北市中正區西藏路61~90號,25.0301394,121.5050779
71,汽車竊盜,1040723,01~03,台北市信義區三犁里信義路五段121~150號,25.0336571,121.5738977
72,汽車竊盜,1040731,10~12,台北市萬華區環河南路三段181~210號,25.022233,121.492031
73,汽車竊盜,1040801,04~06,台北市北投區立賢里承德路七段342巷口,25.1176856,121.5049436
74,汽車竊盜,1040807,07~09,台北市大同區朝陽里南京西路301~330號,25.0538379,121.512893
75,汽車竊盜,1040809,01~03,台北市文山區萬芳里萬美街一段31~60號,25.0019729,121.569151
76,汽車竊盜,1040814,04~06,台北市北投區一德里中央北路四段31~60號,25.132293,121.473592
77,汽車竊盜,1040824,07~09,台北市士林區福佳里中正路361~390號,25.0941549,121.5209714
78,汽車竊盜,1040827,01~03,台北市士林區福順里重慶北路四段121~150號,25.083663,121.512371
79,汽車竊盜,1040827,07~09,台北市南港區玉成里松河街301~330號,25.052361,121.5810019
80,汽車竊盜,1040831,22~24,台北市中山區中山北路二段42巷內,25.054591,121.5222645
81,汽車失竊,1040901,01~03,台北市北投區豐年里大業路601~630號,25.1366259,121.498173
82,汽車失竊,1040901,10~12,台北市北投區大同里北投路二段與中央南路口,25.132244,121.501319
83,汽車失竊,1040921,07~09,台北市中正區南福里南昌路二段31~60號,25.0280335,121.5198919
84,汽車失竊,1040923,19~21,台北市萬華區艋舺大道長順街口,25.0300495,121.4926457
85,汽車失竊,1040925,10~12,台北市萬華區康定路287巷,25.0340801,121.5014877
86,汽車失竊,1040927,10~12,台北市萬華區雙園河濱公園,25.034607,121.488616
87,汽車失竊,1041004,01~03,台北市文山區萬和里溪洲街31~60號,25.0060374,121.534798
88,汽車失竊,1041005,10~12,台北市信義區雅祥松信路31~60號,25.0482654,121.5722003
89,汽車失竊,1041009,22~24,台北市信義區雅祥里松信路31~60號前,25.0482654,121.5722003
90,汽車失竊,1041013,07~09,台北市大同區至聖里承德路三段208巷1~30號,25.070554,121.517809
91,汽車失竊,1041014,01~03,台北市大安區黎和里6鄰和平東路三段636巷,25.0100821,121.5635252
92,汽車失竊,1041020,13~15,台北市南港區新光里忠孝東路七段391~420號,25.0519303,121.6051995
93,汽車失竊,1041102,10~12,台北市北投區稻香里秀山路外交部宿舍車道口對面,25.1437492,121.4910831
94,汽車失竊,1041107,01~03,台北市士林區福安里延平北路七段31~60號,25.0951524,121.4966179
95,汽車失竊,1041121,16~18,台北市士林區富光里葫蘆街54巷1~30號,25.0809936,121.5092658
96,汽車失竊,1041124,07~09,台北市南港區新富里研究院路一段101巷內,25.0526058,121.6182689
97,汽車竊盜,1041208,07~09,台北市內湖區潭美街潭美街上編號154停車格,25.0600463,121.5917229
98,汽車竊盜,1041208,10~12,台北市北投區關渡里知行路331~360號,25.1176841,121.4643868
99,汽車竊盜,1041213,07~09,台北市北投區中央里大業路與大興街口,25.130588,121.499412
100,汽車竊盜,1041217,22~24,台北市內湖區內湖路一段91巷39弄1~30號,25.0882492,121.5621539
101,汽車竊盜,1041220,04~06,台北市北投區稻香里稻香路108巷對面政戰學校外防汛道路,25.1429596,121.4915649
102,汽車竊盜,1041221,10~12,台北市士林區福佳里基河路361~390號,25.0956304,121.5180151
103,汽車竊盜,1041225,07~09,台北市北投區豐年里大業路527巷31~60號,25.1374863,121.4913692
104,汽車竊盜,1041226,16~18,台北市北投區洲美里承德路六段421~450號,25.1080669,121.5117135
105,汽車竊盜,1050101,01~03,台北市中山區德惠街167巷31~60號,25.0678005,121.531918
106,汽車竊盜,1050112,07~09,台北市士林區天和里天母東路91~120號,25.118178,121.5357651
107,汽車竊盜,1050112,19~21,台北市中正區螢圃里重慶南路三段61~90號,25.0267015,121.5163423
108,汽車竊盜,1050116,07~09,台北市大安區建安里敦化南路一段161巷69弄1~30號,25.0435991,121.5495081
109,汽車竊盜,1050118,07~09,台北市士林區社園里通河西街二段121~150號,25.0929118,121.5068773
110,汽車竊盜,1050120,04~06,台北市北投區榮華里9鄰榮華二路1~30號,25.1133164,121.5243694
111,汽車竊盜,1050120,04~06,台北市松山區光復北路230巷,25.0562288,121.5549034
112,汽車竊盜,1050124,13~15,台北市內湖區碧山路1~30號,25.1023137,121.5889816
113,汽車竊盜,1050128,04~06,台北市北投區大同里大業路361~390號,25.0511949,121.5536561
114,汽車竊盜,1050205,10~12,台北市松山區南京東路四段52巷,25.129902,121.497226
115,汽車竊盜,1050216,01~03,台北市中正區頂東里師大路121~150號,25.021029,121.526451
116,汽車竊盜,1050217,01~03,台北市大安區福住里1鄰新生南路二段30巷1~30號,25.0316869,121.53299
117,汽車竊盜,1050220,19~21,台北市北投區建民里文林北路80巷3弄口,25.02188,121.5218481
118,汽車竊盜,1050222,01~03,台北市中正區河堤里金門街34巷對面,25.1064179,121.5160802
119,汽車竊盜,1050224,01~03,台北市士林區德華里文林路740巷,25.0595227,121.5199966
120,汽車竊盜,1050225,07~09,台北市大同區雙連里錦西街52巷,25.1032338,121.5208235
121,汽車竊盜,1050228,13~15,台北市北投區泉源里東昇路31~60號,25.151306,121.522233
122,汽車竊盜,1050301,10~12,台北市大同區雙連里錦西街52巷1~30號,25.060083,121.519999
123,汽車竊盜,1050304,01~03,台北市南港區新富里研究院路一段101巷1~30號,25.053828,121.616129
124,汽車竊盜,1050311,19~21,台北市北投區稻香路91 ~ 120號,25.1410395,121.4896357
125,汽車竊盜,1050312,01~03,台北市內湖區新明路121~150號,25.0595071,121.5899167
126,汽車竊盜,1050312,01~03,台北市內湖區新明路121~150號,25.0595071,121.5899167
127,汽車竊盜,1050314,01~03,台北市萬華區桂林路244巷61~90號,25.0364753,121.4930888
128,汽車竊盜,1050318,19~21,台北市松山區濱江路361~390號,25.0723849,121.5529999
129,汽車竊盜,1050319,13~15,台北市大同區老師里重慶北路三段民族西路,25.068621,121.5136624
130,汽車竊盜,1050325,04~06,台北市萬華區環河南路三段61~90號,25.026091,121.4902584
131,汽車竊盜,1050331,13~15,台北市萬華區桂林路246巷31~60號,25.0379923,121.5045609
132,汽車竊盜,1050421,07~09,台北市士林區永倫里延平北路六段301~330號,25.0904848,121.5012618
133,汽車竊盜,1050421,13~15,台北市士林區富洲里延平北路九段211~240號,25.107824,121.4712101
134,汽車竊盜,1050427,13~15,台北市萬華區雁鴨河濱公園,25.0387025,121.4952208
135,汽車竊盜,1050428,07~09,台北市內湖區江南街71巷65弄1~30號,25.0759013,121.5787437
136,汽車竊盜,1050429,16~18,台北市中山區劍南路上,25.084853,121.555592
137,汽車竊盜,1050501,07~09,台北市北投區立農里吉利街127巷1~30號,25.1189235,121.5070864
138,汽車竊盜,1050508,10~12,台北市中山區民生東路二段147巷6弄1~30號,25.120857,121.475354
139,汽車竊盜,1050521,01~03,台北市北投區八仙里大度路1~30號,25.059296,121.534713
140,汽車竊盜,1050526,01~03,台北市萬華區西藏路211~240號,25.0290397,121.4964788
141,汽車竊盜,1050613,10~12,台北市萬華區華江雁鴨河濱公園,25.0387025,121.4952208
142,汽車竊盜,1050627,01~03,台北市萬華區雁鴨河濱公園,25.0387025,121.4952208
143,汽車竊盜,1050627,19~21,台北市松山區富錦街77巷2弄,25.0602589,121.5513211
144,汽車竊盜,1050627,19~21,台北市松山區富錦街77巷2弄,25.0602589,121.5513211
145,汽車竊盜,1050630,10~12,台北市士林區天母里15鄰天玉街81巷1~30號,25.1227941,121.530999
146,汽車竊盜,1050706,16~18,台北市士林區福安里延平北路七段1 ~ 30號,25.0952164,121.4967491
147,汽車竊盜,1050713,07~09,台北市北投區智仁里中和街391 ~ 420號,25.1424401,121.498553
148,汽車竊盜,1050715,13~15,台北市北投區一德里中央北路四段515巷1 ~ 30號,25.1278927,121.468668
149,汽車竊盜,1050716,07~09,台北市文山區萬祥里景隆街1巷口,25.0006311,121.539998
150,汽車竊盜,1050722,07~09,台北市信義區六合里松仁路228巷1 ~ 30號,25.0253089,121.5689213
151,汽車竊盜,1050728,22~24,台北市萬華區柳鄉里3鄰桂林路246巷,25.0369599,121.4926699
152,汽車竊盜,1050729,16~18,台北市內湖區東湖路121 ~ 150號,25.121968,121.475877
153,汽車竊盜,1050731,04~06,台北市北投區八仙里大度路151 ~ 180號,25.0682585,121.6165404
154,汽車竊盜,1050802,19~21,台北市文山區景美里羅斯福路6段331 ~ 360號,25.0932387,121.5047295
155,汽車竊盜,1050803,10~12,台北市士林區永倫里通河西街2段181 ~ 210號,24.9892516,121.5393643
156,汽車竊盜,1050808,01~03,台北市松山區濱江街841 ~ 870號,25.0713364,121.5595206
157,汽車竊盜,1050808,13~15,台北市萬華區環河南路2段241 ~ 270號,25.031324,121.491073
158,汽車竊盜,1050809,10~12,台北市北投區中和里大屯路21巷2弄1 ~ 30號,25.143624,121.500099
159,汽車竊盜,1050812,01~03,台北市士林區富洲里延平北路8段181 ~ 210號,25.1058438,121.4814149
160,汽車竊盜,1050812,07~09,台北市文山區萬興里031鄰新光路2段91 ~ 120號,24.9989193,121.5958921
161,汽車竊盜,1050814,10~12,台北市萬華區艋舺大道260巷,25.0326849,121.4980181
162,汽車竊盜,1050814,10~12,台北市萬華區西園路2段1 ~ 30號,25.0154026,121.4947657
163,汽車竊盜,1050815,01~03,台北市萬華區華中河濱公園,25.0329447,121.4981473
164,汽車竊盜,1050815,10~12,台北市北投區奇岩里磺港路151 ~ 180號,25.0980651,121.4922156
165,汽車竊盜,1050821,10~12,台北市士林區福安里延平北路7段177巷,25.1278707,121.5029317
166,汽車竊盜,1050824,04~06,台北市士林區翠山里中社路1段11巷61 ~ 90號,25.1099882,121.5622229
167,汽車竊盜,1050826,01~03,台北市士林區社子里通河西街1 ~ 30號,25.0325093,121.5481042
168,汽車竊盜,1050828,22~24,台北市大安區住安里四維路91 ~ 120號,25.0897162,121.511428
169,汽車竊盜,1050831,01~03,台北市萬華區武昌街2段91 ~ 120號,25.0444836,121.5038557
170,汽車竊盜,1050831,22~24,台北市士林區社子里2鄰通河西街2段1 ~ 30號,25.092477,121.498605
171,汽車竊盜,1050904,10~12,台北市士林區永倫里延平北路6段481 ~ 510號,25.0897162,121.511428
172,汽車竊盜,1050904,13~15,台北市北投區稻香里稻香路181 ~ 210號,25.1440362,121.4884115
173,汽車竊盜,1050910,01~03,台北市內湖區康樂街136巷29弄31 ~ 60號,25.072837,121.617992
174,汽車竊盜,1050911,01~03,台北市北投區關渡里知行路292巷14弄,25.1216875,121.4687067
175,汽車竊盜,1050921,04~06,台北市萬華區東園街121 ~ 150號,25.0452812,121.5023915
176,汽車竊盜,1050921,13~15,台北市萬華區環河南路1段61 ~ 90號,25.0251135,121.4969943
177,汽車竊盜,1050929,01~03,台北市萬華區康定路61 ~ 90號,25.0409705,121.5022957
178,汽車竊盜,1050929,07~09,台北市內湖區成功路2段406巷,25.0707983,121.5893415
179,汽車竊盜,1051004,19~21,台北市文山區木新里034鄰木新路2段161巷1 ~ 30號,24.983712,121.569032
180,汽車竊盜,1051010,01~03,台北市北投區豐年里中央北路2段257巷,25.1347964,121.4896722
181,汽車竊盜,1051020,19~21,台北市士林區葫東里通河西街1段61 ~ 90號,25.0847161,121.5124294
182,汽車竊盜,1051024,10~12,台北市大安區黎元里臥龍街181 ~ 210號,25.0179924,121.5515317
183,汽車竊盜,1051027,04~06,台北市萬華區萬大路391 ~ 420號,25.0222899,121.49946
